0,22557.000
0,35871.000
0,46103.000
0,56538.000
0,67054.000
1,287352.000
1,297614.000
1,309376.000
1,319614.000
1,331366.000
2,507308.000
2,518028.000
2,529092.000
2,539813.000
2,550877.000
3,790778.000
3,802584.000
3,879338.000
3,891239.000
3,968071.000
4,1615912.000
4,1629793.000
4,1642673.000
4,1656535.000
4,1669386.000
5,1880816.000
5,1894630.000
5,1905260.000
5,1919061.000
5,1929672.000
6,2140801.000
6,2154373.000
6,2180976.000
6,2194615.000
6,2221268.000
7,2530002.000
7,2540244.000
7,2552142.000
7,2562377.000
7,2574266.000
8,2752737.000
8,2762997.000
8,2776504.000
8,2786743.000
8,2800234.000
9,2987193.000
9,3000252.000
9,3010728.000
9,3023814.000
9,3034306.000
G0,3323994.000
G0,3337967.000
G0,3449430.000
G0,3463136.000
G0,3574365.000
G1,4476082.000
G1,4487169.000
G1,4497373.000
G1,4508459.000
G1,4518663.000
G2,4688994.000
G2,4701820.000
G2,4712056.000
G2,4724874.000
G2,4735102.000
G3,4919724.000
G3,4931631.000
G3,4942244.000
G3,4954158.000
G3,4964778.000
G4,5144746.000
G4,5159610.000
G4,5170064.000
G4,5184930.000
G4,5195389.000
G5,5399167.000
G5,5409791.000
G5,5420967.000
G5,5431583.000
G5,5442752.000
G6,5660663.000
G6,5674478.000
G6,5729792.000
G6,5743631.000
G6,5798999.000
G7,6409024.000
G7,6419789.000
G7,6530143.000
G7,6541124.000
G7,6651602.000
G8,7528172.000
G8,7541569.000
G8,7551885.000
G8,7565262.000
G8,7575544.000
G9,7766741.000
G9,7777325.000
G9,7789945.000
G9,7800514.000
G9,7813145.000
^C
